"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"1.4929",0.11032,0.069249,0.061395,0.015413,-0.12374,0.015215,0.064919,0.016636,-0.030364,-0.0047555,0.079508,-0.0021478,-0.014235,-0.029283,0.050489,-0.051898,0.0013243,-0.16536,-0.074847,0.024205,0.0087439,-0.10447,-0.15414,-0.052305,0.038021,0.15803,-0.0018088,-0.012609,-0.14429,-0.071155,0.044068,-0.068682,-0.014597,-0.06725,-0.024266,-0.022655,0.084399,-0.15484,-0.058004,-0.034403,-0.1694,-0.12528,-0.22531,-0.14853,0.063932,0.048719,0.079843,0.16253,-0.073668,0.035024
"1.8554",0.016842,-0.027001,-0.061598,-0.014793,0.10804,0.15975,0.045134,0.025945,-0.048704,0.067119,0.064845,0.047822,-0.037755,-0.03134,-0.12675,0.19538,0.10541,0.019033,0.026884,-0.13301,-0.004581,-0.014534,-0.1037,0.088838,-0.10709,0.059145,-0.032485,0.037546,-0.14312,-0.090755,-0.058841,-0.062869,0.040262,0.098111,0.076294,-0.13476,0.0027273,-0.018212,-0.02221,-0.044231,-0.074237,0.078439,-0.040102,0.012009,0.008905,0.14471,-0.069036,0.061982,-0.17416,0.0069047
"1.9242",0.073024,-0.059835,0.047783,-0.04555,-0.08086,-0.095955,-0.14331,0.12779,0.053675,0.019553,-0.02519,-0.046735,0.10891,-0.036254,0.052615,0.23162,0.12459,0.014853,0.047929,-0.04409,-0.012506,0.038012,-0.15996,0.065051,0.049805,0.03458,-0.060962,0.058544,-0.035019,-0.071483,0.16354,0.24044,-0.022593,-0.0083777,0.071982,0.040988,-0.06562,-0.013853,-0.22868,0.043648,-0.022755,-0.081792,-0.098323,0.056358,0.021792,0.12608,-0.13854,-0.13305,-0.014743,0.11349
"1.93875",0.093781,-0.17644,0.11419,0.18002,-0.06112,-0.094259,0.10431,0.018157,-0.063158,0.059343,0.022536,-0.02934,-0.019072,-0.017983,-0.02244,0.069704,0.046969,0.045738,-0.045029,-0.058807,0.068267,-0.11077,0.10542,-0.13441,0.10419,0.041803,0.039982,0.071542,-0.10289,0.11847,-0.020269,-0.1765,-0.094221,0.016346,-0.093713,0.042235,-0.0023124,-0.10869,-0.045046,0.22603,-0.059292,0.034659,0.11105,-0.1518,0.14835,-0.02649,-0.064793,-0.13304,-0.26295,0.082343
"2.1275",0.073769,-0.09998,0.26933,0.09208,-0.16802,0.05355,-0.047834,0.086208,0.078663,0.091426,-0.095968,-0.0011051,-0.11588,0.052902,-0.033587,0.13105,0.039185,-0.0098964,0.071466,0.16386,0.029479,-0.12811,-0.097014,-0.086916,0.1103,-0.05295,-0.044819,-0.13128,0.11498,-0.24341,-0.13347,0.1859,0.084926,-0.04351,-0.13835,0.065626,0.020156,-0.0046484,0.11697,-0.0192,-0.040076,0.020536,-0.077235,0.073618,-0.21833,0.04369,0.14027,-0.068626,-0.054432,-0.039458
"2.152",0.018414,-0.003683,-0.062162,-0.028324,0.091793,0.15972,0.043041,0.0074223,-0.025014,0.070857,0.038926,0.057339,-0.085124,0.027813,-0.10613,0.19355,0.043675,-0.10282,0.072833,-0.068987,-0.048492,0.01632,-0.049024,-0.0061386,-0.070207,-0.0020516,-0.0069039,-0.0943,0.018219,-0.028914,-0.010966,-0.059496,-0.012595,0.10418,-0.041877,-0.12389,-0.0036667,-0.019223,0.0012911,-0.1063,-0.030659,0.015987,0.041037,0.017712,0.079973,0.14093,-0.066146,-0.024605,-0.046109,0.039437
"2.1864",-0.021637,0.012494,-0.18004,-0.022759,0.15983,0.2218,-0.14831,-0.0092312,0.019948,0.0029076,0.15632,0.043218,0.01297,-0.090476,-0.046671,-0.080057,0.062694,-0.077236,0.0022995,-0.099701,-0.2062,0.12733,-0.017337,-0.083069,-0.18741,0.034503,-0.034435,0.1715,0.036492,-0.020879,0.028403,0.096944,-0.11843,-0.13295,-0.14844,0.025945,-0.078234,-0.098549,0.18289,-0.18211,0.072937,0.058087,0.027236,-0.018894,0.051864,-0.1302,-0.075683,-0.099968,-0.23002,-0.071395
"2.2378",0.14082,0.0022965,0.062599,-0.16819,0.027176,-0.017822,0.050103,-0.10198,-0.046378,0.050691,0.071692,0.050128,0.076119,0.06729,0.077181,-0.10182,-0.050969,-0.022857,-0.090313,-0.043852,0.036584,0.0057567,0.052038,0.073342,-0.1863,-0.093123,-0.13715,-0.016134,-0.041644,0.028581,0.0072856,-0.032601,-0.035853,-0.06997,-0.084649,-0.095551,0.056124,-0.12967,0.047504,-0.013835,0.14645,-0.08056,0.072667,0.0788,0.013497,0.083147,0.20671,-0.076428,0.03009,0.0089681
"2.2673",0.13914,-0.22987,0.04113,0.19071,0.072047,-0.054345,-0.0086644,0.0063314,0.034187,-0.026616,-0.086905,-0.040944,0.085271,-0.00021532,0.023183,0.0047764,0.031836,0.22268,-0.045374,-0.033462,0.015369,-0.0038806,0.010697,0.03779,-0.05551,0.076603,-0.082873,-0.047224,0.084801,-0.021575,0.036768,0.12007,-0.0083302,-0.050897,-0.096426,-0.075644,-0.047474,0.093195,0.074662,0.054911,-0.025262,0.090928,-0.10954,-0.075304,0.020246,0.017598,-0.068946,-0.13994,-0.072709,-0.23992
"2.2882",0.14206,-0.102,0.032045,0.03795,0.0025183,0.070659,0.10939,-0.013551,0.019919,0.048174,0.094022,0.0096565,0.079339,0.15714,-0.086841,0.049551,-0.044252,0.021064,-0.16345,-0.058977,0.021943,-0.043933,0.14461,0.052896,0.046218,0.041428,-0.091651,0.15094,0.029962,-0.10161,0.046879,-0.0030374,0.0040067,-0.099832,0.017213,-0.070585,-0.011555,-0.078296,0.074223,-0.11923,0.077536,0.12795,0.057033,-0.11545,-0.19051,-0.04642,0.13694,-0.12065,0.17508,0.12947
"2.34675",-0.15604,-0.13908,0.11558,0.0063125,0.10687,-0.14314,0.16467,0.16482,-0.11896,0.052589,0.18379,-0.20321,-0.0027558,-0.0028566,-0.1202,-0.1571,-0.14574,0.0070061,0.031694,0.050813,-0.064121,-0.021685,-0.28636,-0.04799,-0.081783,-0.11926,-0.083132,-0.04002,0.095982,0.021346,0.082309,0.033298,0.22574,0.081032,-0.087318,0.0098483,0.040002,0.024012,-0.1311,-0.11347,-0.033917,0.032634,0.080214,0.0023684,0.026476,-0.050168,0.0064133,0.019148,0.12756,-0.18603
"2.383",0.05756,0.23351,0.018992,-0.080336,0.10064,0.032123,-0.23567,-0.063887,0.044947,0.11608,-0.14364,-0.23852,0.10738,-0.1349,0.0055358,0.075794,0.0044615,0.0087172,0.01703,-0.06128,0.20126,-0.045573,0.12911,-0.04699,-0.047955,0.0028053,0.10075,-0.011284,-0.043665,-0.047096,0.18068,-0.24138,0.34981,-0.13327,0.063099,-0.1029,-0.045976,-0.11942,0.054926,0.11517,-0.10408,-0.1015,0.1453,-0.20273,-0.014532,0.061978,0.037822,0.090274,-0.0056887,-0.1908
"2.4149",0.075716,0.087099,-0.0085024,-0.095747,0.023571,-0.01589,-0.11118,0.11061,0.082401,-0.050895,0.053404,-0.078858,0.057428,0.0023289,0.11137,0.04302,0.085961,0.066134,-0.084333,-0.16341,0.21129,-0.078413,-0.078362,0.15887,-0.060528,-0.020938,-0.040352,-0.042835,-0.14564,0.042479,0.12596,0.10352,-0.071853,0.22262,-0.042182,0.025659,-0.088175,-0.17023,0.062191,-0.12888,-0.078725,-0.058136,-0.17261,0.024538,0.034907,-0.078731,-0.13932,-0.16524,-0.10908,0.082881
"2.4547",0.045625,0.062206,0.049915,0.0023489,0.030133,-0.11835,-0.070735,-0.090391,0.093677,0.074495,0.034997,0.17698,-0.093233,-0.031615,-0.061504,-0.080061,0.002025,-0.13396,0.12238,-0.03306,0.28473,0.0419,0.027359,-0.0035582,-0.0097963,0.073153,0.010853,-0.05112,-0.061723,0.022381,-0.168,0.16424,0.18854,-0.031769,-0.11433,-0.045066,-0.18501,0.17721,0.053153,-0.040162,-0.10957,0.084265,0.13446,-0.015738,-0.056585,-0.15845,0.086652,-0.09858,-0.15805,0.054965
"2.47135",-0.027899,0.13308,0.098718,0.059944,-0.091088,0.0025344,-0.031379,0.015289,0.0064422,0.036751,0.037394,-0.033696,-0.082563,0.02639,-0.033181,-0.033051,0.26264,-0.027512,0.048327,0.23384,0.040355,-0.021776,-0.024069,0.00073217,-0.03301,0.12465,-0.044333,0.12332,-0.023656,0.16858,-0.11842,0.20955,-0.0019532,0.13837,0.039136,-0.15458,0.049601,0.065555,0.053155,-0.0028182,0.25851,0.099714,-0.11505,-0.01117,0.07348,-0.12349,0.019241,-0.060422,0.058558,-0.10587
